goldcode-sv,pdp_url,image_no,image_url,link_status
02100054-1,https://kachivietnam.com/products/ban-chai-dien-dau-xoay-tron-mk361,2,https://cdn.hstatic.net/products/1000389255/3_d0269f1a4f75498f9723702c907f4950_1024x1024.jpg,Active
02100054-1,https://kachivietnam.com/products/ban-chai-dien-dau-xoay-tron-mk361,3,https://cdn.hstatic.net/products/1000389255/4_14c553db7d17466a8f2452504563b7bf_1024x1024.jpg,Active
02100054-1,https://kachivietnam.com/products/ban-chai-dien-dau-xoay-tron-mk361,4,https://cdn.hstatic.net/products/1000389255/5_dcc043337ab247b382be7b1bab923377_1024x1024.jpg,Active
02100054-1,https://kachivietnam.com/products/ban-chai-dien-dau-xoay-tron-mk361,5,https://cdn.hstatic.net/products/1000389255/6_1e4833b2e7a34ce38fe498f60b689b36_1024x1024.jpg,Active
02100054-1,https://kachivietnam.com/products/ban-chai-dien-dau-xoay-tron-mk361,6,https://cdn.hstatic.net/products/1000389255/7_285c6c8e7fec42b6a1c0707b584eabe1_1024x1024.jpg,Active
02100054-1,https://kachivietnam.com/products/ban-chai-dien-dau-xoay-tron-mk361,7,https://cdn.hstatic.net/products/1000389255/8_18f9ea52465f45e2980952ae053515c4_1024x1024.jpg,Active
02100054-1,https://kachivietnam.com/products/ban-chai-dien-dau-xoay-tron-mk361,8,https://cdn.hstatic.net/products/1000389255/1_96f09f859726411e99edd69998954f6f_1024x1024.jpg,Active
02100054-1,https://kachivietnam.com/products/ban-chai-dien-dau-xoay-tron-mk361,9,https://cdn.hstatic.net/products/1000389255/9_07efae53b9ac4fcd9186df5833da2210_1024x1024.jpg,Active
02100054-1,https://kachivietnam.com/products/ban-chai-dien-dau-xoay-tron-mk361,10,https://cdn.hstatic.net/products/1000389255/10_fb41a79b99a74926b5efc63f18cdac51_1024x1024.jpg,Active
02100054-1,https://kachivietnam.com/products/ban-chai-dien-dau-xoay-tron-mk361,11,https://cdn.hstatic.net/products/1000389255/more_practical_f7637463b5c94d62be17946d05711051_3b0d4e2e967b4c57a4bb9d6a66d68e62_1024x1024.jpg,Active
02100054-1,https://kachivietnam.com/products/ban-chai-dien-dau-xoay-tron-mk361,12,https://cdn.hstatic.net/products/1000389255/1_056aa3d30c7141c1b63ff1f533c1a839_1024x1024.jpg,Active
02100054-1,https://kachivietnam.com/products/ban-chai-dien-dau-xoay-tron-mk361,13,https://cdn.hstatic.net/products/1000389255/3_70d333d90f1e40b48ab8cfc346b36314_1024x1024.jpg,Active
02100054-1,https://kachivietnam.com/products/ban-chai-dien-dau-xoay-tron-mk361,14,https://product.hstatic.net/1000389255/product/artboard_9100_08a2c95bc7d7401fb7bc69204129d904_1024x1024.jpg,Active
02078215-1,https://kachivietnam.com/products/noi-lau-dien-mini-1-5l-mishio-mk392-600w,1,https://cdn.hstatic.net/products/1000389255/mk392__2__d2da414444b5470d9af689c94bf9d1cf_1024x1024.jpg,Active
02078215-1,https://kachivietnam.com/products/noi-lau-dien-mini-1-5l-mishio-mk392-600w,2,https://cdn.hstatic.net/products/1000389255/mk392__3__77f808421f564153bdd5eace8920d2fb_1024x1024.jpg,Active
02078215-1,https://kachivietnam.com/products/noi-lau-dien-mini-1-5l-mishio-mk392-600w,3,https://cdn.hstatic.net/products/1000389255/mk392__4__56e488ff6224440483437f5a4ce84646_1024x1024.jpg,Active
02078215-1,https://kachivietnam.com/products/noi-lau-dien-mini-1-5l-mishio-mk392-600w,4,https://cdn.hstatic.net/products/1000389255/mk392__5__5dfe7c091dd34decbab99f1767df2a04_1024x1024.jpg,Active
02078215-1,https://kachivietnam.com/products/noi-lau-dien-mini-1-5l-mishio-mk392-600w,5,https://cdn.hstatic.net/products/1000389255/mk392__6__a09d034885f54c1e9caef8c05d67a2bc_1024x1024.jpg,Active
02078215-1,https://kachivietnam.com/products/noi-lau-dien-mini-1-5l-mishio-mk392-600w,6,https://cdn.hstatic.net/products/1000389255/mk392__7__d2c8d9b00bf549c498730f65391c92c4_1024x1024.jpg,Active
02078215-1,https://kachivietnam.com/products/noi-lau-dien-mini-1-5l-mishio-mk392-600w,7,https://cdn.hstatic.net/products/1000389255/mk392__8__36056ae45d254f21b731fb0523afaf61_1024x1024.jpg,Active
02078215-1,https://kachivietnam.com/products/noi-lau-dien-mini-1-5l-mishio-mk392-600w,8,https://cdn.hstatic.net/products/1000389255/1_c7d19ae58de9406fb50ddf782f8bc5c7_1024x1024.jpg,Active
